student_code,login_frequency,avg_assignment_score,assignment_submission_rate,avg_quiz_score,days_since_last_login,course_completion_rate,at_risk
SYN0496,12,91.96,0.095,37.57,12,0.329,1
SYN0497,3,72.74,0.166,89.25,6,0.548,0
SYN0498,11,59.42,0.723,76.18,5,0.222,0
SYN0499,28,51.6,0.389,61.91,3,0.024,0
SYN0500,13,65.17,0.215,11.27,6,0.941,1
SYN0501,3,60.51,0.563,40.33,1,0.108,1
SYN0502,20,49.77,0.756,73.76,3,0.127,0
SYN0503,29,95.73,0.257,84.26,2,0.147,0
SYN0504,26,91.78,0.827,82.18,1,0.981,0
SYN0505,8,82.04,0.928,28.16,5,0.618,0
SYN0506,14,51.19,0.597,66.03,1,0.61,0
SYN0507,16,77.83,0.669,80.31,4,0.987,0
SYN0508,7,74.59,0.053,26.83,2,0.088,1
SYN0509,8,71.64,0.946,59.84,24,0.975,0
SYN0510,7,83.74,0.392,65.48,1,0.204,1
SYN0511,30,74.53,0.924,53.98,0,0.623,0
SYN0512,23,76.1,0.579,22.96,11,0.42,0
SYN0513,26,74.55,0.005,53.49,17,0.384,0
SYN0514,25,70.11,0.039,53.45,5,0.931,0
SYN0515,29,38.25,0.68,57.04,0,0.149,0
SYN0516,3,66.25,0.563,48.73,0,0.997,0
SYN0517,27,56.66,0.027,51.14,0,0.379,0
SYN0518,2,45.8,0.743,59.21,10,0.649,1
SYN0519,14,90.23,0.852,68.85,17,0.968,0
SYN0520,18,90.93,0.496,53.91,0,0.058,0
